product_Id,vendor_name,product_name,product_description,parent_category,sub_category
565,Evans Manufacturing,Star Flexible Key Tag,"30 popular shapes to suit business and promotional themes. Includes 1"" split-ring.",Accessories,Others
570,Evans Manufacturing,Awareness Ribbon Flexible Key Tag,"30 popular shapes to suit business and promotional themes. Includes 1"" split-ring",Accessories,Others
603,Hub Pen Co,Swan Comfort Stylus Pen,"The Swan Comfort Stylus offers a refined, ergonomic design with a soft-touch finish for exceptional writing comfort. Featuring elegant rose gold accents that complement its sophisticated color options, this pen combines sleek aesthetics with functionality. Its built-in stylus makes it perfect for touchscreen devices, while the smooth blue ink ensures a premium writing experience. Ideal for professional settings and brand promotions, the Swan Comfort Stylus is the perfect blend of style, comfort, and versatility.
Material: Aluminum
Standard Decoration Includes: Laser Engraved On Barrel
All Available Decoration Options:
Laser Engraved: 2.5"" W x 0.25"" H Barrel
Full Color: 3"" W x 0.25"" H Barrel
Expanded Engraving: 2.5"" W x 0.375"" H Barrel
Straight Line Copy: Yes
Tip Type: Ball Point
Mechanism: Click Extend
Standard Packaging: Bulk
Tags: Stylus, Pen, Popular, Metal, Tech, Accessory, Phone, Tablet, Gift, Desk, Office, Executive, Advertisement, College, Grade, Writing, Merchandise, Study, High School, Essay, List",Office,Accessories
604,Hub Pen Co,Vineyard Comfort Pen,"The Vineyard Comfort Pen exudes affordable luxury, making it the perfect choice for executive gifting. With its jewel-toned barrel, cut-out bands, and unique gunmetal trim, this pen combines striking aesthetics with high-end appeal. The soft-touch finish ensures a comfortable writing experience, while the smooth black ink provides effortless flow. Ideal for corporate giveaways or personalized gifts, the Vineyard Comfort Pen is a standout option for those seeking a touch of sophistication and practicality.
Material: Aluminum
Standard Decoration Includes: Laser Engraved On Barrel
All Available Decoration Options:
Laser Engraved: 2.5"" W x 0.25"" H Barrel
Full Color: 2.5"" W x 0.25"" H Barrel
Expanded Engraving: 2.5"" W x 0.25"" H Barrel
Straight Line Copy: Yes
Tip Type: Ball Point
Mechanism: Click Extend
Standard Packaging: Bulk
Tags: Pen, Popular, Metal, Gift, Desk, Office, Executive, Advertisement, College, Grade, Writing, Merchandise, Study, High School, University, Essay, List, Home, Classic, Trade Show",Office,Accessories
605,Hub Pen Co,Bond Comfort,"Experience elegance with the Bond Comfort, a sleek European-style executive pen that makes a handsome gift. Its deep shimmering jewel tones, paired with high gloss matching trim, exude sophistication. With a large imprint area to showcase your message and smooth blue ink for effortless writing, it's the perfect blend of style and function.
Material: Aluminum
Standard Decoration Includes: Laser Engraved
All Available Decoration Options:
Laser Engraved: 2.5"" W x 0.25"" H Barrel
Expanded Engraving: 2.5"" W x 0.375"" H Barrel
Full Color Digital: 2.5"" W x 0.25"" H Barrel
Straight Line Copy: 2 lines of 40 characters at 8pt
Tip Type: Ball Point
Mechanism: Push Retractable
Standard Packaging: Bulk
Tags: Popular, Metal, Gift, Desk, Office, Executive, Advertisement, College, Grade, Writing, Merchandise, Study, High School, University, Essay, List, Home, Pen, Classic, Trade Show",Office,Accessories
612,Hub Pen Co,Ecometal Denim Stylus,"Experience sustainable style with the EcoMetal Denim Stylus Pen offering eco-conscious branding with recycled aluminum and paper. The matte soft-touch upper barrel exudes style, and the recycled paper lower barrel features a denim texture print in fashion-forward colors, complemented by eye-catching gunmetal and chrome trim accents. This unique pen makes a green statement, leaving a lasting brand impression. Perfect for businesses aiming to make a positive impact.
Material: Aluminum, Paper
Standard Decoration Includes: Laser Engraved On Upper Barrel
All Available Decoration Options:
Engraved: 1.375"" W x 0.25"" H Upper Barrel
Full Color: 1.375"" W x 0.25"" H Upper Barrel
Straight Line Copy: Yes
Tip Type: Ball Point
Mechanism: Push Retractable
Standard Packaging: Bulk
Tags: Ballpoint, Stylus, Pen, Writing, Tool, Ink, Touchscreen, Hybrid, Dual, Function, Multi-purpose, Digital, Device, Screen, Capacitive, Nib, Retractable, Click, Smooth, Convenience",Office,Writing Instruments
632,SanMar Corp,Richardson Laser Perf R-Flex Snapback 632,R-Flex adjustable snapback closure,Apparel,Headwear
649,Hub Pen Co,Buzz Comfort Stylus Pen,"A futuristic design will create buzz for your brand! This executive pen features a honeycomb pattern raised rubber grip and an etched plunger with stylus. The matte soft touch finish with gunmetal accents and large imprint area offers maximum impact for a bold and striking brand.
Material: Rubberized Aluminum
Standard Decoration Includes: Laser Engraved Imprint 2-1/4"" W X1/4"" H On Barrel
All Available Decoration Options:
Laser Etch: 2.25"" W x 0.25"" H Barrel
Full Color Digital: 2.5"" W x 0.25"" H
Straight Line Copy: Yes
Tip Type: Ball Point
Mechanism: Click Extend
Standard Packaging: Bulk
Tags: Stylus Pen, Executive Pen, Popular, Plastic, Tech, Accessory, Phone, Tablet, Tradeshow, Trade, Show, Desk, Office, Advertisement, College, Grade, Writing, Merchandise, Study, High School, University, Home",Tech,Accessories
712,Edwards Garment,Cotton Blend Unisex 1/4 Zip Sweater,"Edwards Quarter-zip Cotton blend Sweater has a soft; natural drape and goes everywhere with everything. Wear it layered or with a basic tee; this sweater is classic. Perfect for an event; the office or out on the town. Embroiders well. Ladies companion is #119
87%Cotton/13% Nylon 
Traditional fit
Soft Cotton jersey stitch sweater 
Nylon zipper with leather pull 
Rib-knit trim at collar; cuffs and waist 
Contrasting inner collar 
Full fashion for a perfect fit 
Cold water wash 
Unisex sizes: XS - 5XL",Apparel,Hoodies & Sweatshirts
748,Koozie Group,"Garyline® 7"" Polar Ice Scraper","Durable, tough on ice, and customizable, this 7"" two-piece ice scraper is the winter essential your clients will reach for again and again. Built to perform, it features a heavy-duty 1/4"" thick scraping blade that tackles frost and snow with ease. The ribbed grip handle ensures comfort and control, even with gloved hands. Customize it your way by mixing and matching handle and blade colors to perfectly complement any style.",Accessories,Tools
753,Richardson Sports Inc,"8-Stitch 2.75"" Bill - Performance Ignite LT Laser Perf Ump Cap","Offering a standard bill length for enhanced sun protection, the 753 base umpire cap features laser perforated back panels for improved ventilation, and built with our durable, stretchable Ignite LT fabric, Stay-Dri moisture management, and a U-Form bill for a customized fit.",Apparel,Headwear
762,Evans Manufacturing,On The Edge Key Tag,Keep keys conveniently close with this sturdy plastic two-tone key tag. Imprint area is always white.,Accessories,Others
785,Richardson Sports Inc,Referee Ignite LT R-Flex,"Featuring laser-vented back panels, the 785 is built with lightweight, moisture-wicking Ignite LT fabric and a Stay-Dri sweatband. Two R-Flex sizes ensure the perfect fit.",Apparel,Headwear
787,Richardson Sports Inc,Official Ignite LT R-Flex,"The 787 features laser-vented back panels for enhanced breathability, while moisture-wicking Stay-Dri technology enhances the stretchable Ignite LT fabric and sweatband. Available in two R-Flex sizes for flexible sizing.",Apparel,Headwear
810,SanMar Corp,Richardson Lite Wide Brim Hat 810,Bungee with toggle closure,Apparel,Headwear
810,Richardson Sports Inc,Lite Wide Brim Hat,"This soft-brimmed, lightweight hat features UPF 35 sun protection, Stay-Dri moisture management, an adjustable drawcord, and a size-adjusting bungee with a toggle.",Apparel,Headwear
822,Richardson Sports Inc,Straw Safari Hat,"Whether wandering the savannah or strolling the banks of your favorite body of water, our 822 brings the cool, shady style you need to enjoy a day in the heat. And with a tall fabric wrap, perfect for holding tees or pencils, this Straw Safari Hat is right at home on the links, too.",Apparel,Headwear
828,Richardson Sports Inc,Lined Waterman,"Out on the water or posted up on the shore, when shade is in short supply, our 828 Lined Waterman is the perfect sun solution. The 4½ brim offers ample coverage, and two different straw colors with underbill prints make the 828 a superior shade hat.",Apparel,Headwear
835,Richardson Sports Inc,Tilikum,"Like the windswept rush you get crossing the Willamette River 180 feet above the water, the ripstop polyester fabric with open mesh gives the 835 Tilikum the best airflow a cap can offer. A six-panel construction presents a classic silhouette, while the materialization is as innovative as the pedestrian-only bridge it's named after.",Apparel,Headwear
843,Richardson Sports Inc,Casual Twill Camo Strapback,"The 843 is a casual structured cap with a Low Pro crown. Available in our top-selling camo patterns, it features a precurved bill and adjustable hook-and-loop backstrap.",Apparel,Headwear
862,Richardson Sports Inc,Multicam Trucker,"Designed to withstand punishing circumstances, our 862 is made from NYCO ripstop fabric for high-grade resistance to natural wear and tear. A buttonless crown adds tactical benefits and a clean appearance, while polyester mesh allows for maximum airflow during active wear.",Apparel,Headwear
865,Richardson Sports Inc,R-Flex Multicam,"Constructed from performance nylon, the 865 is available in the same multicam camo pattern used by the US Military. A buttonless crown presents a clean, technical look while eliminating a common pressure point created by ear protection. R-Flex ensures a versatile fit without adjustment for this tactical performance headwear.",Apparel,Headwear
882,Richardson Sports Inc,Blaze Trucker,"Stay safe on the range or out in the woods with our 882 Blaze Trucker cap. Leveraging the same iconic fit, feel and construction of our world-famous 112 Trucker, it features an adjustable snapback closure for a secure fit.",Apparel,Headwear
899,Evans Manufacturing,Sunglass Holder,"Soft-support sunglass holder provides added protection. Durable clip attaches sunglass holder to backpacks, golf bags and beach bags. Fits most sunglasses.",Accessories,Sunglasses & Eyewear
901,Evans Manufacturing,Sweet Sunglasses,"Always be in style with these fun-in-the-sun style glasses while protecting eyes from harmful rays from the sun. The vibrant colors help to stand out in the crowd. Features dark, ultraviolet protective lenses with a UV Rating of 400. Ideal for summer apparel shops, sporting goods stores, beach festivities and surf shops.",Accessories,Sunglasses & Eyewear
907,Innovation Line,"14-1/2""W x 17-1/2"" H - 210D Polyester Drawstring Cinch Pack Backpack",This backpack cinch pack is made from sturdy 210D polyester and features adjustable 17” cords for easy form fit. It also has reinforced corners and metal grommets for the more strength. Reusable and Recyclable. Also available with a Full Color Imprint,Bags,Drawstrings
909,Richardson Sports Inc,McKenzie,"With a wide 3"" brim, UPF 50+ protection, and water-repellent nylon construction, the McKenzie is our most versatile sun hat.",Apparel,Headwear
910,Richardson Sports Inc,Sunriver,"Featuring an extra-wide brim, lightweight and water-repellent nylon construction, UPF 35 rating, and adjustable drawcord, the Sunriver is the perfect hat for your next outdoor adventure.",Apparel,Headwear
912,Innovation Line,"""Breckenridge"" 13” W x 16” H - “Economy” Drawstring Cinch Pack Backpack","This 80GSM non-woven polypropylene economy backpack cinch pack comes with reinforced eyelets and 5mm twisted drawstring cord. It is economically priced, reusable and Recyclable.? Also available with a Full Color Imprint!*",Bags,Drawstrings
914,Evans Manufacturing,Woodland Sunglasses,"Stylish light and dark wood grains plastic sunglasses. Durable construction. Features dark, ultraviolet protective lenses with UV 400 rating to protect your eyes from the bright sun.",Accessories,Sunglasses & Eyewear
917,Evans Manufacturing,Mood Shades,Draw attention with these exciting new UV ray activated sunglasses. When exposed to sunlight the color of the sunglasses transforms. They feature dark ultraviolet protective lenses with UV 400 rating that will protect your eyes from the bright sun.,Accessories,Sunglasses & Eyewear
920,Evans Manufacturing,Fly'n Aviator Sunglasses,"Classic aviator frame with large ad space on the temples. Features dark, ultraviolet protective lenses with UV 400 rating to protect your eyes from the bright sun.",Accessories,Sunglasses & Eyewear
923,Evans Manufacturing,Metallic Sunglasses,"Stylish matte metallic frame. Features dark, ultraviolet protective lenses with UV 400 rating to protect your eyes from the bright sun.",Accessories,Sunglasses & Eyewear
930,Richardson Sports Inc,Troutdale,"Featuring a slightly softer crown construction, this corduroy mesh back cap with braided bill rope is at home in town or off the beaten path.",Apparel,Headwear
931,Richardson Sports Inc,Koosah,"From its ripstop fabric construction to its metal grommet eyelets, the 931 is the kind of water-repellent cap you need when hiking the picture-esque McKenzie River Trail and stopping to see the majestic Koosah Falls. A nylon woven backstrap is durable and secure, while the clean, technical, nature-ready design will ensure you look good no matter the view.",Apparel,Headwear
932,Richardson Sports Inc,PCT,"Our 932 is a lightweight, breathable, floatable, and packable five-panel camper cap. Featuring a hook-and-loop backstrap with stretch D-ring, Stay-Dri sweatband, and UPF 50+ protection.",Apparel,Headwear
933,Richardson Sports Inc,Bandon,"Wind, water, sun, and fun. You'll find them all along the shores of Bandon, Oregon-and our 933 is designed to help you enjoy them. With its Stay-Dri sweatband, lightweight water-repellent fabrics, and UPF 50+ rating, the Bandon offers the outdoor utility your adventure requires.",Apparel,Headwear
934,Richardson Sports Inc,Wildwood,"Winding through the wilderness of Portland, Oregon's 5,200 acre Forest Park, the Wildwood Trail leads hikers out of the city and into one of the largest urban forests in the country. Our 934 Wildwood embodies that connection between city streets and wooded trails. It's water-resistant, rated UPF 50+, packable, and features a hook-and-loop backstrap with stretch D-Ring to keep you comfortable in all conditions.",Apparel,Headwear
935,Richardson Sports Inc,Rogue,"Inspired by the white waters of the Rogue River-one of eight rivers originally protected by the Wild and Scenic Rivers Act of 1968-our 935 features fast-drying fabrics and breathable, wide-set nylon mesh. A secure nylon backstrap and floating foldable bill make this a difficult cap to lose.even when the going gets tough.",Apparel,Headwear
937,Richardson Sports Inc,Pioneer,"This seven-panel cap is constructed using a sturdy Original Martexin® Wax finish cotton canvas, which repels water and provides UPF 50+ sun protection.",Apparel,Headwear
938,Richardson Sports Inc,ORE,"Snow-capped mountains. Dry desert dunes. Wild wilderness and urban adventure. Oregon has it all, and this relaxed unstructured cap is made to take it all in. Soft-washed cotton twill construction gives the cap a worn-in look and feel, while its durable woven nylon backstrap provides a secure fit and UPF 50+ offers protection from harsh UV rays.",Apparel,Headwear
939,Richardson Sports Inc,Bachelor,"At over 9,000 feet in elevation, Mount Bachelor towers over the landscape of central Oregon-providing an all-seasons playground for outdoor adventurers. With its soft-washed cotton fabric, pinched front, and classic rope detailing, Mt. Bachelor is just the kind of outdoor lifestyle our 939 was made for.",Apparel,Headwear
941,Innovation Line,"13"" W x 16"" H - “Everest” Tall Clear Drawstring Cinch Pack Backpack","Made of clear PVC material which meets CPSIA and Prop 65 specifications for lead, phthalates and other heavy metals. This useful and practical backpack is ideal for stadiums, events, schools and universities, the workplace, charity walks, all a must. Reinforced corners, strong metal grommets � � and braided drawstring rope � closure prevents tearing and increase bag strength. 25” Uncinched Handles.",Bags,Drawstrings
942,Richardson Sports Inc,Sahalie,"Named for the wild and beautiful Sahalie Falls of the McKenzie River, this nylon performance cap is water-repellent and offers UPF 50+ protection for long days spent on the water or the trails. Our casual structured Low Pro shape, precurved bill, and hook-and-loop backstrap with stretch D-Ring make this an ideal cap for any outdoor adventure.",Apparel,Headwear
950,Koozie Group,"Garyline® 9"" Visor Clip Ice Scraper","Clear windshields and strong branding go hand in hand with this durable 9"" ice scraper. Featuring a sturdy 3"" blade and high-impact polystyrene construction, it powers through snow, ice, and debris with ease. The built-in visor clip keeps it within reach, making sure your logo is front and center, season after season.",Accessories,Auto
959,Innovation Line,"""URBANEASE"" Designer Cross-Body Belt Bag","The UrbanEase Cross Body Belt Bag is loaded with features. It has 3 storage pockets - The main zipper pocket is a spacious 8” x 5.5” with 3 interior mesh storage compartments, the front zipper pocket is 7.5” x 4” and the hidden back pocket is 7” x 4.5”. The strap has a large detachable buckle lock for easy clipping and unclipping. Outside material is smooth 230T Polyester with a 210D Polyester lining inside.",Bags,Fanny Packs
960,Innovation Line,"""THE HIPSTER"" Cross-Body Belt Bag",The Hipster Bag can be worn cross-body or around the waist. The versatile belt size is adjustable from a minimum length of 16” (24” including the bag size) to a maximum of 44” (52” including the bag size) to accommodate youth and people of all sizes. It features an 7 1?2” x 5 1/4” spacious main zipper storage pocket and a slimmer back pocket in the same size. The strap has a large detachable buckle lock for easy clipping and unclipping.,Bags,Fanny Packs
970,Innovation Line,"""EVERYWHERE"" Clear Stadium Compliant Cross-Body Belt Bag",The Everywhere Bag can be worn cross-body or around the waist. It’s made with clear and smooth TPU material which is Stadium Compliant! It features a 7-1?2” x 5-1/4” spacious main zipper storage pocket and a 7” x 4-1/2” back pocket. The versatile belt size adjusts from a minimum length of 24” (including the bag size) to a maximum of 52” (including the bag size) to accommodate youth and people of all sizes. The strap has a large detachable buckle lock for easy clipping and unclipping.,Bags,Fanny Packs
979,Evans Manufacturing,Cozy Fleece Blanket,"Constructed of 190 GSM brushed polyester fleece, this ultra-soft and warm blanket is perfect for those cold evenings.",Accessories,Blankets & Throws
980,Evans Manufacturing,Fleece Roll Up Blanket,Blanket easily folds and rolls closed using hook & loop. The flap color matches blanket and includes an easy carry handle.,Accessories,Blankets & Throws
984,Hub Pen Co,Guillox® 9 Stylus Pen,"Jumbo twist-action executive pen in high gloss enamel with a gunmetal barrel etched in a contemporary Guilloche engraved design. Features a microfiber stylus designed for increased connectivity with touch screen devices. Includes supersmooth, anti-fraud black ink for secure writing. Backed by the Cambridge Collection lifetime guarantee.
Material: Metal
Standard Decoration Includes: Lasered, 1 Location
All Available Decoration Options:
Laser Engraved: 1.25"" W x 0.25"" H Cap
Revolution Engraving: 1.25"" W x 0.5"" H Cap
Tip Type: Ballpoint
Mechanism: Twist
Standard Packaging: Individually Cellophaned
Tags: popular, metal, tech, accessory, phone, tablet, gift, desk, office, executive, advertisement, college, grade, writing, merchandise, study, high school, pen, essay, list",Office,Writing Instruments
985,Evans Manufacturing,Carry-It Picnic Throw,"Made out of soft comfortable polyester, the throw folds into a durable zippered outer panel with handle. Excellent for corporate events, school fundraisers, sporting events and community events.",Accessories,Blankets & Throws
990,Evans Manufacturing,Polar Fleece Picnic Blanket,Made of 100% polyester fleece about 245G anti-pill 100% polyester fleece & 210D Polyester resist moisture. Features handles to easily carry with moisture resistant treatment (NO PFAs). Hand wash cold OR Surface clean only.,Accessories,Blankets & Throws
995,Evans Manufacturing,RPET Fleece Blanket,"This RPET fleece blanket is ultra soft, which makes it great for cold evenings",Accessories,Blankets & Throws
997,Evans Manufacturing,Soft Sublimated Microfiber Blanket - 60 x 50,"Constructed of 180 GSM microfiber polyester, this ultra soft microfiber sublimated blanket makes for warm cozy evenings. while promoting your brand.",Accessories,Blankets & Throws
1013,Hit Promotional Products,Knit Scarf With Patch,100% Acrylic With Cotton Twill Patch.,Accessories,Patches
1048,Koozie Group,"Garyline® 10"" Polar Ice Scraper","Tackle winter’s worst with this 10"" heavy-duty ice scraper, engineered for performance. Featuring a 1/4"" thick blade, this winter essential powers through ice and snow with ease. The ribbed grip handle ensures comfort and control, even with gloved hands. Customize it your way by mixing and matching handle and blade colors to perfectly complement any style.",Accessories,Auto
1100,Innovation Line,"""Helix"" Laser Engraved Pull Apart-Metal Valet Keyholder",Matte Finish Keychain Keytag with Chrome Accents. In 2-Piece Black Gift Box.,Accessories,Auto
1102,Innovation Line,"""Jens"" Laser Engraved Metal Keyholder",Matte Finish Keychain Keytag with Chrome Accents. In 2-Piece Black Gift Box.,Accessories,Auto
1102,Hit Promotional Products,WRISTBAND WITH PATCH,100% Cotton Terry Cloth. Available in 10 Popular Colors!.,Accessories,Patches
1116,Innovation Line,"""Infini"" Laser Engraved Metal Keyholder",Matte Finish Keychain Keytag with Chrome Accents. In 2-Piece Black Gift Box.,Accessories,Auto
1120,Innovation Line,"""Raha"" Laser Engraved Pull Apart-Metal Valet Keyholder",Matte Finish Keychain Keytag with Chrome Accents. In 2-Piece Black Gift Box.,Accessories,Auto
1122,Innovation Line,"""Mikey"" Laser Engraved Metal Keyholder",Chrome Finish Keychain Keytag. In 2-Piece Black Gift Box.,Accessories,Auto
1133,Innovation Line,"""Akari"" Traditional Slim Keyholder Keylight with Bright White LED Light",A perennial keychain keylight favorite.,Accessories,Auto
1164,Innovation Line,"""Geo"" Economy Laser Engraved Metal Keyholder",Matte Finish Keychain Keytag with Chrome Accents. In 2-Piece Black Gift Box.,Accessories,Auto
1167,Innovation Line,"""Droplet"" Economy Laser Engraved Metal Keyholder",Matte Finish Keychain Keytag with Chrome Accents. In 2-Piece Black Gift Box.,Accessories,Auto
1203,Innovation Line,"""Beamer"" 4 LED Keyholder Keylight with Carabiner Clip","Easy to hold wide flat design with incredibly bright 4 LED white lights . Easy thumb click on, click off switch . Huge imprint area . Carabiner easily clips onto backpacks, bags and belts . Also available with a Full Color Imprint !*",Accessories,Auto
1205,Innovation Line,"""Titania"" 3 LED Ultra Thin Aluminum Keychain Keylight","This metal keyholder keylight is ultra thin for convenient carrying and storage. It features 3 super bright white LED lights. Easy on and off button. Pricing includes a laser engraved imprint?. (Patent #D661,889S).",Accessories,Auto
1221,Innovation Line,"""Gianna"" Laser Engraved Metal Keyholder",Shiny Chrome Trim with Gunmetal Insert on Front of Keychain Keytag. In 2-Piece Black Gift Box.,Accessories,Auto
1225,Evans Manufacturing,License Plate Insert,"This 28 mil styrene license plate insert is a stylish and affordable way to put company names on the front of customer's cars, and trucks.",Accessories,Auto
1235,Evans Manufacturing,Mini Auto Trash Can,"Fits most auto cup holders. Sturdy spring-hinged lid assures the trash is sealed tightly. Great for car rental companies, auto dealers and service locations.",Accessories,Auto
1246,Edwards Garment,Comfort Stretch Long Sleeve Mens Shirt,"Edwards This men's long sleeve stretch poplin shirt is a giant in the workforce. Light weight; traditional fit and comfort stretch makes this 'The Shirt' for active workers. Great for messengers; valets and maintenance workers. Companion style is 5246
60% Cotton/ 40% Polyester Poplin; 3.5 oz.
Traditional fit; button down collar and left chest pocket
Dyed to match buttons; back yoke with box pleat and curved tail
Wrinkle resistant and soil release
Rental Ready; Home or Industrial launder
Men's Sizes: Regular; S - 3XL; Tall; MT - 6XLT",Apparel,Dress Shirts & Button Downs
1262,Edwards Garment,Mens Navigator Shirt - Long Sleeve,"Edwards This men's navigator shirt offers performance poplin with new styling and a soft hand. The fabric stands up to demanding wear. Great for transit; security or entertainment programs. Embroiders well. Ladies companion is #5262.
65% Polyester/35% Cotton; 
3.5/3.75 oz.wt. blue; 4.0/4.25 white 
Traditional fit
Point collar with permanent stays 
Two flap pockets with pencil slot 
Fusible interfacing on collar; epaulets; pocket flaps; placket 
Long sleeve; no badge tab 
Moisture wicking fabric is wrinkle resistant 
Rental Ready; Home or Industrial launder 
Men's Sizes: Regular; S - 3XL; Tall; LT - 6XLT",Apparel,Dress Shirts & Button Downs
1265,Evans Manufacturing,High Pressure Aluminum Tire Gauge,"Aluminum tire gauge with metal clip measures up to 100 PSI. Features easy-to-read numbers on the extendable tip for viewing the tire pressure. Ideal for car dealers, automotive merchants and insurance companies.",Accessories,Auto
1270,Evans Manufacturing,Expandable Trunk Organizer,"Constructed of 80 GSM non-woven polypropylene material. Features three large compartments, an outside mesh pocket and sturdy plastic handles. It easily holds groceries or can be used for organizing clutter in trunk. It collapses flat for easy storage when not in use.",Accessories,Auto
1276,Edwards Garment,Security Shirt - Long Sleeve,"Edwards Security long sleeve shirt. Durable and functional; this polyester/cotton shirt is a mainstay for any security program. This shirt stands up to demanding wear with six design features that respond to technical security requirements. Companion style is #1226 
65% Polyester/35% Cotton; 5 oz. wt. 
Traditional fit
Durable and hardworking long sleeve shirt 
Permanent collar stays 
“X” stitch epaulets 
Badge tab with reinforced sling 
Pleated patch pockets 
Scalloped flaps with self-fastening closure 
Traditional sewn in creases front/back 
Decoration note: heat seal recommended on sleeves only
Industrial launder or machine washable 
Unisex sizes: Regular; XS - 3XL; XS - S/31/33; M/31/33/35; L - XL/33/35; 2XL - 3XL/35
Talls; L - 6XL; L - 6XL/37; 4XL - 6XL/35",Apparel,Dress Shirts & Button Downs
1280,Edwards Garment,Easy Care Poplin Long Sleeve Mens Shirt,"Edwards This men's easy care poplin long sleeve shirt is soft; colorful and hardworking. This performance poplin stands up to demanding wear. Perfect for restaurants; delivery services or any image apparel where performance counts. Embroiders well. Ladies companion is #5280.
65% Polyester/35% Cotton; 4.0/4.25 oz. wt. 
Traditional fit; long sleeve with button-down collar 
Horn buttons and left chest pocket 
Back box pleat
Fabric wicks moisture 
Soil release and wrinkle resistant 
Industrial launder or machine washable 
Men's Sizes: Regular; S - 3XL; S/31/33; M/31/33/35; L - XL/33/35; 2XL - 3XL/35
Talls; L - 6XL; L - 6XL/37; 4XL - 6XL/35",Apparel,Dress Shirts & Button Downs
1290,Edwards Garment,Cafe Mens Shirt,"Edwards This men's café long sleeve shirt is soft; colorful and hardworking. This performance broadcloth stands up to demanding wear. Perfect for restaurants; coffee shops or catering. Embroiders well. Companion style is #5290 
65% Polyester/35% Cotton; 3.1/3.5 oz.wt. 
Traditional fit
Performance broadcloth café shirt 
Café collar with covered placket 
Long sleeve and no pocket 
Two-button adjustable cuff 
Straight back yoke seam 
Rental Ready; Home or Industrial launder 
Men's Sizes: Regular; S - 3XL; Tall; L - 6XL",Apparel,Dress Shirts & Button Downs
